"symbol","date","open","high","low","close","volume","adjusted","returns"
"^JKSE",2010-01-04,2533.94799804688,2576.05590820312,2532.89599609375,2575.4130859375,18339300,2575.31298828125,0
"^JKSE",2010-01-05,2575.61694335938,2606.06909179688,2575.61694335938,2605.27709960938,57043800,2605.17553710938,0.0115290987862885
"^JKSE",2010-01-06,2605.48095703125,2622.11596679688,2587.7099609375,2603.29711914062,51569100,2603.19555664062,-0.000760277373794528
"^JKSE",2010-01-07,2603.5009765625,2611.60302734375,2570.27294921875,2586.89501953125,45510800,2586.79418945312,-0.00632044200818661
"^JKSE",2010-01-08,2586.79296875,2614.53588867188,2583.84692382812,2614.3701171875,73723500,2614.26831054688,0.0105648731567631
"^JKSE",2010-01-11,2615.60791015625,2649.19702148438,2615.60791015625,2632.2041015625,52891200,2632.1015625,0.00679836110899875
"^JKSE",2010-01-12,2632.30590820312,2659.97607421875,2623.77392578125,2659.55102539062,57497400,2659.447265625,0.0103357644573891
"^JKSE",2010-01-13,2657.90307617188,2657.90307617188,2623.4609375,2632.8720703125,42685500,2632.76953125,-0.0100820288107325
"^JKSE",2010-01-14,2633.58203125,2661.92797851562,2633.58203125,2645.18090820312,53126200,2645.07788085938,0.00466416697788266
"^JKSE",2010-01-15,2646.7529296875,2655.80590820312,2638.35595703125,2647.09008789062,47643800,2646.98706054688,0.000721497357837196
"^JKSE",2010-01-18,2645.44189453125,2648.92407226562,2629.90795898438,2642.54809570312,30861500,2642.44506835938,-0.0017173171949074
"^JKSE",2010-01-19,2642.35400390625,2666.57299804688,2640.17797851562,2666.07104492188,32768000,2665.96728515625,0.00886223047893178
"^JKSE",2010-01-20,2666.57788085938,2689.77490234375,2655,2667.26611328125,36995600,2667.16235351562,0.000448150320869314
"^JKSE",2010-01-21,2664.65893554688,2664.65893554688,2621.36010742188,2638.38208007812,32438400,2638.27954101562,-0.010888139395557
"^JKSE",2010-01-22,2636.9619140625,2636.9619140625,2580.16796875,2610.34008789062,36693100,2610.23852539062,-0.0106853661147412
"^JKSE",2010-01-25,2609.73095703125,2609.73095703125,2575.962890625,2597.86010742188,33669400,2597.75903320312,-0.00479244417914568
"^JKSE",2010-01-26,2597.35302734375,2608.73999023438,2568.94897460938,2578.4150390625,42143000,2578.31469726562,-0.00751318632744887
"^JKSE",2010-01-27,2577.90795898438,2594.24609375,2554.88208007812,2564.55395507812,26010100,2564.45434570312,-0.00539031736800378
"^JKSE",2010-01-28,2565.3779296875,2619.97802734375,2565.3779296875,2619.56494140625,33551500,2619.46313476562,0.0212236842410642
"^JKSE",2010-01-29,2619.26098632812,2619.26098632812,2569.26611328125,2610.7958984375,21712000,2610.6943359375,-0.00335313430698035
"^JKSE",2010-02-01,2610.59301757812,2610.59301757812,2571.75903320312,2587.54907226562,32319600,2587.4482421875,-0.00894399324087502
"^JKSE",2010-02-02,2588.25903320312,2613.67309570312,2574.11010742188,2580.2509765625,30633100,2580.15063476562,-0.00282445159870647
"^JKSE",2010-02-03,2580.65600585938,2606.28295898438,2580.65600585938,2604.54907226562,38272000,2604.44750976562,0.00937288742416514
"^JKSE",2010-02-04,2604.751953125,2610.36791992188,2589.05493164062,2593.21997070312,38026400,2593.119140625,-0.00435922389365816
"^JKSE",2010-02-05,2592.40893554688,2592.40893554688,2506.88891601562,2518.97607421875,34842900,2518.87817382812,-0.0290478362716351
"^JKSE",2010-02-08,2518.60693359375,2518.60693359375,2431.837890625,2475.57202148438,36850700,2475.4755859375,-0.0173810100903731
"^JKSE",2010-02-09,2474.75,2490.10888671875,2439.90991210938,2489.48510742188,32704700,2489.38842773438,0.00560441581764491
"^JKSE",2010-02-10,2490.29296875,2511.73510742188,2474.40087890625,2483.43798828125,26501600,2483.34130859375,-0.00243201915848372
"^JKSE",2010-02-11,2483.63891601562,2508.26293945312,2468.85400390625,2507.7509765625,40917000,2507.65356445312,0.0097424404317695
"^JKSE",2010-02-12,2508.15405273438,2536.56591796875,2501.98510742188,2534.13696289062,35308600,2534.03833007812,0.0104668043143351
"^JKSE",2010-02-15,2533.73388671875,2533.73388671875,2510.958984375,2517.4560546875,16743700,2517.35815429688,-0.0066042409887635
"^JKSE",2010-02-16,2517.65795898438,2558.65502929688,2516.337890625,2558.5048828125,22302000,2558.4052734375,0.0161741682033054
"^JKSE",2010-02-17,2558.60595703125,2581.60009765625,2558.60595703125,2581.34008789062,35680400,2581.23974609375,0.00888562026784491
"^JKSE",2010-02-18,2581.44091796875,2581.44091796875,2550.52905273438,2560.03393554688,26304700,2559.93432617188,-0.0082881635193002
"^JKSE",2010-02-19,2559.93310546875,2559.93310546875,2527.7451171875,2554.3759765625,21925400,2554.2763671875,-0.0022125568305139
"^JKSE",2010-02-22,2554.77905273438,2574.96899414062,2553.81396484375,2564.26293945312,19028500,2564.16333007812,0.00386312664312576
"^JKSE",2010-02-23,2564.162109375,2583.69506835938,2538.03491210938,2583.65087890625,32655900,2583.55004882812,0.00753238372071076
"^JKSE",2010-02-24,2582.42309570312,2582.42309570312,2555.46997070312,2579.416015625,40083200,2579.31567382812,-0.00164044523049859
"^JKSE",2010-02-25,2579.31494140625,2583.15893554688,2536.09204101562,2549.03295898438,23650800,2548.93383789062,-0.0118489673064838
"^JKSE",2010-03-01,2548.8310546875,2565.43701171875,2545.89306640625,2554.67407226562,18985100,2554.57446289062,0.00221059537466655
"^JKSE",2010-03-02,2554.47290039062,2577.09008789062,2554.47290039062,2576.59106445312,25350600,2576.49096679688,0.0085425815612171
"^JKSE",2010-03-03,2577.0009765625,2585.83203125,2552.85400390625,2567.08911132812,34245400,2566.9892578125,-0.00369461693141904
"^JKSE",2010-03-04,2566.98803710938,2579.53295898438,2557.3701171875,2565.64501953125,24987400,2565.54516601562,-0.000562698865034248
"^JKSE",2010-03-05,2566.05395507812,2583.087890625,2566.05395507812,2578.77197265625,25418300,2578.67163085938,0.00510338941630322
"^JKSE",2010-03-08,2578.97412109375,2627.69506835938,2578.97412109375,2626.45092773438,29813600,2626.3486328125,0.018320171688527
"^JKSE",2010-03-09,2626.25,2657.38208007812,2624.11499023438,2657.1669921875,30408700,2657.0634765625,0.0116270369866998
"^JKSE",2010-03-10,2656.86206054688,2676.27392578125,2652.84912109375,2670.21899414062,30181300,2670.11499023438,0.00489997462215822
"^JKSE",2010-03-11,2670.11889648438,2687.11791992188,2661.92895507812,2676.52197265625,40847100,2676.41796875,0.00235769096519413
"^JKSE",2010-03-12,2676.11303710938,2686.23706054688,2661.05688476562,2666.51098632812,52724000,2666.4072265625,-0.00374730911067379
"^JKSE",2010-03-15,2666.40991210938,2683.10791015625,2658.55493164062,2669.60791015625,29518100,2669.50415039062,0.00116074031928989
"^JKSE",2010-03-17,2669.40698242188,2756.26196289062,2669.40698242188,2756.26196289062,65719300,2756.15478515625,0.0319437889815009
"^JKSE",2010-03-18,2756.462890625,2779.35595703125,2718.30590820312,2737.24194335938,60311400,2737.13525390625,-0.00692457704817839
"^JKSE",2010-03-19,2738.80297851562,2758.1259765625,2725.64892578125,2742.97412109375,38764300,2742.8671875,0.00209195395123916
"^JKSE",2010-03-22,2742.67211914062,2742.67211914062,2698.26293945312,2702.40087890625,34251000,2702.29565429688,-0.0149021850813545
"^JKSE",2010-03-23,2702.60205078125,2746.13500976562,2702.60205078125,2720.86206054688,27466700,2720.75610351562,0.00680817181642933
"^JKSE",2010-03-24,2721.1640625,2774.85009765625,2721.1640625,2774.85009765625,33240000,2774.74194335938,0.0196479627572003
"^JKSE",2010-03-25,2773.29711914062,2814.86108398438,2760.20092773438,2799.14892578125,42022300,2799.0400390625,0.00871868902261184
"^JKSE",2010-03-26,2799.25,2813.08203125,2792.36108398438,2813.08203125,40138200,2812.97265625,0.00496527466560938
