"symbol","date","open","high","low","close","volume","adjusted","returns"
"TPMA.JK",2013-02-20,345,345,300,345,12339500,184.554977416992,0
"TPMA.JK",2013-02-21,365,430,345,365,17710000,195.253799438477,0.0563529365511318
"TPMA.JK",2013-02-22,330,370,330,330,3348000,176.530853271484,-0.100804699121966
"TPMA.JK",2013-02-25,320,350,300,320,1418500,171.181442260742,-0.0307716586667537
"TPMA.JK",2013-02-26,340,385,325,340,12576500,181.880279541016,0.0606246218164348
"TPMA.JK",2013-02-27,330,345,330,330,570500,176.530853271484,-0.0298529631496812
"TPMA.JK",2013-02-28,335,340,330,335,1516000,179.20556640625,0.0150378773645405
"TPMA.JK",2013-03-01,345,345,335,345,1024500,184.554977416992,0.0294138852062934
"TPMA.JK",2013-03-04,345,400,345,345,16461000,184.554977416992,0
"TPMA.JK",2013-03-05,350,365,345,350,2927000,187.22966003418,0.0143887374520997
"TPMA.JK",2013-03-06,355,360,350,355,1439000,189.904373168945,0.0141846349919564
"TPMA.JK",2013-03-07,350,370,350,350,4384500,187.22966003418,-0.0141846349919564
"TPMA.JK",2013-03-08,350,355,350,350,1159000,187.22966003418,0
"TPMA.JK",2013-03-11,355,355,350,355,740000,189.904373168945,0.0141846349919564
"TPMA.JK",2013-03-13,355,380,350,355,6657000,189.904373168945,0
"TPMA.JK",2013-03-14,345,355,345,345,386000,184.554977416992,-0.028573372444056
"TPMA.JK",2013-03-15,355,355,345,355,489000,189.904373168945,0.0285733724440559
"TPMA.JK",2013-03-18,355,370,350,355,9153000,189.904373168945,0
"TPMA.JK",2013-03-19,350,355,345,350,1608500,187.22966003418,-0.0141846349919564
"TPMA.JK",2013-03-20,345,355,340,345,769500,184.554977416992,-0.0143887374520996
"TPMA.JK",2013-03-21,345,350,340,345,1098000,184.554977416992,0
"TPMA.JK",2013-03-22,335,345,335,335,636500,179.20556640625,-0.0294138852062933
"TPMA.JK",2013-03-25,340,340,335,340,225000,181.880279541016,0.0148150857851407
"TPMA.JK",2013-03-26,335,345,335,335,39000,179.20556640625,-0.0148150857851406
"TPMA.JK",2013-03-27,345,350,335,345,884000,184.554977416992,0.0294138852062934
"TPMA.JK",2013-03-28,340,345,340,340,82000,181.880279541016,-0.0145987994211526
"TPMA.JK",2013-04-01,340,355,340,340,1390000,181.880279541016,0
"TPMA.JK",2013-04-02,345,350,340,345,116500,184.554977416992,0.0145987994211526
"TPMA.JK",2013-04-03,355,355,340,355,3,189.904373168945,0.0285733724440559
"TPMA.JK",2013-04-04,365,365,355,365,1399500,195.253799438477,0.0277795641070757
"TPMA.JK",2013-04-05,350,365,350,350,157000,187.22966003418,-0.0419641990990322
"TPMA.JK",2013-04-08,365,370,345,365,2362000,195.253799438477,0.0419641990990322
"TPMA.JK",2013-04-09,360,370,360,360,967000,192.579086303711,-0.0137933221323359
"TPMA.JK",2013-04-10,360,375,360,360,2094500,192.579086303711,0
"TPMA.JK",2013-04-11,365,375,360,365,1748000,195.253799438477,0.0137933221323358
"TPMA.JK",2013-04-12,360,370,355,360,315000,192.579086303711,-0.0137933221323359
"TPMA.JK",2013-04-15,355,370,355,355,137500,189.904373168945,-0.0139862419747398
"TPMA.JK",2013-04-16,355,355,355,355,137500,189.904373168945,0
"TPMA.JK",2013-04-17,365,370,360,365,1713000,195.253799438477,0.0277795641070757
"TPMA.JK",2013-04-18,360,360,355,360,152500,192.579086303711,-0.0137933221323359
"TPMA.JK",2013-04-19,355,355,355,355,135500,189.904373168945,-0.0139862419747398
"TPMA.JK",2013-04-22,355,360,355,360,3,192.579086303711,0.0139862419747399
